id_factura,rut_cliente,razon_social,segmento,region,ejecutivo,prioridad_cobranza,fecha_emision,fecha_vencimiento,fecha_pago,dias_credito,monto_neto,monto_total,tasa_morosidad_cartera,estado_cobranza,monto_gestion_cobranza,dias_atraso
F-0082,64.538.186-6,Distribuidora Cordillera,corporativo,Los Lagos,C. Peña,baja,2025-03-30,2025-05-29,2025-05-29,60,1543000,1836170,"5,7",pagada al día,0,0
F-0219,61.842.713-7,Distribuidora Central,pyme,Metropolitana,C. Peña,media,2025-09-16,2025-10-16,2025-10-25,30,357000,424830,"3,1",pagada con atraso,7140,9
F-0056,75.567.645-4,Ingeniería Araucanía,pyme,Metropolitana,C. Peña,baja,2025-12-17,2026-01-16,2026-01-16,30,256000,304640,"3,9",pagada al día,0,0
F-0001,67.409.188-5,Comercial Central,pyme,Antofagasta,M. Fuentes,media,2025-02-12,2025-03-14,2025-03-20,30,255000,303450,"2,7",pagada con atraso,5100,6
F-0265,73.729.559-1,Transportes del Sur,pyme,Metropolitana,C. Peña,baja,2025-08-21,2025-09-20,2025-10-08,30,1106000,1316140,"6,1",pagada con atraso,22120,18
F-0156,69.007.690-K,Distribuidora Pacífico,corporativo,Metropolitana,J. Salas,baja,2025-04-21,2025-05-21,2025-05-21,30,197000,234430,"6,2",pagada al día,0,0
F-0484,63.892.768-3,Comercial Pacífico,pyme,Biobío,C. Peña,alta,2025-04-06,2025-05-06,2025-05-18,30,797000,948430,"6,2",pagada con atraso,15940,12
F-0322,73.660.964-9,Ingeniería Pacífico,corporativo,Metropolitana,C. Peña,baja,2025-01-20,2025-02-19,2025-03-05,30,665000,791350,"5,5",pagada con atraso,13300,14
F-0583,79.413.925-3,Servicios Aconcagua,corporativo,Los Lagos,M. Fuentes,baja,2025-09-21,2025-10-21,2025-10-21,30,386000,459340,"3,1",pagada al día,0,0
F-0292,61.358.397-1,Servicios Cordillera,gobierno,Valparaíso,A. Rojas,baja,2025-02-23,2025-03-25,2025-04-19,30,150000,178500,"2,7",pagada con atraso,3000,25
