id_cliente,edad,nivel_educacion,limite_credito,monto_facturado_mes,monto_pagado_mes,meses_mora,incumplio_pago
C-0001,36,universitaria,240000,-946,0,1,si
C-0002,36,universitaria,80000,79278,3100,2,no
C-0003,26,universitaria,50000,50867,1710,1,no
C-0004,31,universitaria,250000,103109,4000,0,no
C-0005,27,posgrado,70000,70119,3600,0,no
C-0006,25,universitaria,90000,91894,3200,0,no
C-0007,35,posgrado,160000,396,396,0,no
C-0008,32,media,70000,68739,3060,0,no
C-0009,52,posgrado,50000,3257,1000,0,no
C-0010,35,universitaria,30000,7797,2687,0,no
C-0011,24,posgrado,90000,491,0,0,no
C-0012,37,posgrado,160000,316,316,0,no
C-0013,25,posgrado,110000,92849,4346,0,no
C-0014,34,media,300000,280823,11000,0,si
C-0015,24,universitaria,50000,48861,2000,1,si
C-0016,29,media,210000,198510,0,1,no
C-0017,26,universitaria,50000,48221,2571,0,no
C-0018,44,media,130000,109006,4500,0,no
C-0019,29,posgrado,240000,3093,2000,0,no
C-0020,28,posgrado,150000,0,0,0,no
C-0021,26,posgrado,200000,2179,6440,0,no
C-0022,38,universitaria,30000,184,1522,0,no
C-0023,32,universitaria,20000,17757,0,2,no
C-0024,52,universitaria,20000,17420,2000,0,no
C-0025,42,universitaria,500000,-984,4500,1,si
C-0026,54,media,50000,50356,2000,0,no
C-0027,23,universitaria,30000,24285,3002,0,no
C-0028,30,posgrado,100000,28383,5000,0,si
C-0029,40,universitaria,290000,274558,10700,0,si
C-0030,42,universitaria,100000,56256,3000,0,no
C-0031,25,posgrado,150000,52952,60086,0,no
C-0032,42,universitaria,310000,128166,3844,0,no
C-0033,35,universitaria,180000,32082,0,1,no
C-0034,45,posgrado,80000,-50,0,1,no
C-0035,25,universitaria,210000,13899,0,0,no
C-0036,39,universitaria,360000,23690,60284,0,no
C-0037,40,posgrado,210000,6223,8146,0,no
C-0038,25,universitaria,30000,8864,1500,0,no
C-0039,52,media,50000,47479,29456,0,no
C-0040,50,universitaria,290000,88713,3459,0,no
C-0041,35,universitaria,60000,22226,1292,0,no
C-0042,40,media,210000,201169,16286,0,no
C-0043,44,universitaria,30000,8347,1500,0,no
C-0044,38,posgrado,200000,-3,690,0,no
C-0045,29,posgrado,180000,36567,1682,0,no
C-0046,35,posgrado,100000,47253,3000,2,si
C-0047,36,universitaria,50000,94228,2000,0,si
C-0048,51,posgrado,120000,125702,8300,0,no
C-0049,32,posgrado,280000,45536,11509,0,no
C-0050,55,media,240000,229254,8737,0,no
C-0051,24,universitaria,80000,81908,5501,0,si
C-0052,34,universitaria,20000,15907,1498,0,no
C-0053,27,posgrado,150000,1345,0,0,no
C-0054,23,universitaria,60000,45014,1774,1,no
C-0055,37,media,230000,228342,6100,0,no
C-0056,49,universitaria,110000,75565,4009,0,no
C-0057,30,posgrado,170000,3733,1958,0,no
C-0058,35,posgrado,200000,7429,24325,0,no
C-0059,34,posgrado,50000,20613,10000,0,no
C-0060,28,universitaria,260000,234867,10500,0,no
C-0061,37,posgrado,440000,5302,13333,0,no
C-0062,34,universitaria,80000,78688,4000,0,no
C-0063,52,media,110000,0,0,1,no
C-0064,45,media,170000,40441,5000,0,no
C-0065,25,universitaria,80000,0,0,1,no
C-0066,36,universitaria,50000,44510,3000,0,no
C-0067,33,posgrado,210000,970,1303,0,no
C-0068,34,universitaria,220000,51565,15683,0,si
C-0069,47,media,20000,14328,3114,2,si
C-0070,29,posgrado,180000,0,100000,1,no
C-0071,28,universitaria,360000,0,0,1,si
C-0072,33,universitaria,80000,19073,3895,1,no
C-0073,31,posgrado,360000,-5,0,0,no
C-0074,42,universitaria,60000,58264,3200,0,no
C-0075,25,media,50000,31097,0,2,si
C-0076,27,universitaria,50000,8951,200,1,si
C-0077,34,posgrado,120000,105356,3931,0,si
C-0078,42,universitaria,130000,1048,1048,0,no
